name,mult,charge,chi,smi
S(368),2,0,"InChI=1S/C5H7O3/c6-5-3-1-2-4-7-8-5/h1,3,5H,2,4H2",[O]C1OOCCC=C1
S(1540),2,0,"InChI=1S/C5H7O3/c1-2-3-4-7-8-5-6/h1-2,5H,3-4H2",O=COOCCC=[CH]
S(472),1,0,"InChI=1S/C5H6O2/c6-5-3-1-2-4(5)7-3/h3-4H,1-2H2",O=C1C2OC1CC2
C5H9O(207),2,0,"InChI=1S/C5H9O/c1-2-3-4-5-6/h3,5H,2,4H2,1H3",O=CC[CH]CC
S(327),1,0,InChI=1S/C5H6O2/c6-4-1-2-5(7)3-4/h1-3H2,O=C1CCC(=O)C1
S(1244),2,0,"InChI=1S/C5H7O3/c6-3-1-2-4(7)5(3)8/h1,4-5,7-8H,2H2",OC1C(O)C(=O)[CH]C1
C5H9O(213),2,0,"InChI=1S/C5H9O/c6-5-3-1-2-4-5/h3,5-6H,1-2,4H2",OC1CCC[CH]1
C5H8O(303),1,0,"InChI=1S/C5H8O/c1-3-5(6)4-2/h3H,1,4H2,2H3",O=C(CC)C=C
S(896),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5-8-7/h1,3-4,6-7H,5H2",OC=[C]C=CCOO
S(1127),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5-8-7/h1-4,6H,5H2",OC=CC=CCO[O]
C5H7O(40),2,0,"InChI=1S/C5H7O/c1-2-4-6-5-3-1/h2-4H,1,5H2",O1C[CH]CC=C1
C5H6O(163),1,0,"InChI=1S/C5H6O/c6-4-3-5-1-2-5/h3-4H,1-2H2",O=CC=C1CC1
S(1073),2,0,"InChI=1S/C5H7O3/c1-2-4-3-5(6)8-7-4/h3-4H,2H2,1H3",O=C1OOC(CC)[CH]1
S(1107),1,0,"InChI=1S/C5H6O2/c6-3-1-4-5(2-3)7-4/h1,3,5-6H,2H2",OC1CC2OC2=C1
S(1098),1,0,"InChI=1S/C5H6O2/c6-3-1-2-4-5(3)7-4/h2-3,5-6H,1H2",OC1C2OC2=CC1
C5H9O(212),2,0,"InChI=1S/C5H9O/c6-5-3-1-2-4-5/h1,5-6H,2-4H2",OC1CC[CH]C1
S(563),1,0,"InChI=1S/C5H8O2/c6-4-2-1-3-5(4)7/h4,6H,1-3H2",OC1CCCC1=O
S(560),1,0,"InChI=1S/C5H8O2/c6-3-1-4-5(2-3)7-4/h3-6H,1-2H2",OC1CC2OC2C1
S(321),2,0,"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h1-2,5-7H,3H2",OC=1CC(OO)[CH]C=1
C5H7O(296),2,0,"InChI=1S/C5H7O/c1-2-5(6)3-4-5/h2H,1,3-4H2",[O]C1(CC1)C=C
C5H9O(214),2,0,"InChI=1S/C5H9O/c6-5-3-1-2-4-5/h6H,1-4H2",O[C]1CCCC1
C5H6O(158),1,0,"InChI=1S/C5H6O/c6-4-3-5-1-2-5/h3,5H,1-2H2",O=C=CC1CC1
S(326),2,0,"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h2,5,7H,1,3H2",OOC1CC(=O)C[CH]1
C5H9O(206),2,0,"InChI=1S/C5H9O/c1-2-3-4-5-6/h4-5H,2-3H2,1H3",O=C[CH]CCC
S(823),2,0,"InChI=1S/C5H7O3/c6-5-3-1-2-4-7-8-5/h2H,1,3-4H2",O=C1OOC[CH]CC1
S(657),2,0,"InChI=1S/C5H7O3/c6-4-3-5(8-7)1-2-5/h3-4,6H,1-2H2",OC=CC1(O[O])CC1
S(318),2,0,"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h1,3,5-7H,2H2",OC1=CC(OO)C[CH]1
C2H3(181),2,0,"InChI=1S/C2H3/c1-2/h1H,2H2",C=[CH]
S(1371),1,0,"InChI=1S/C5H6O2/c6-3-1-2-5-4-7-5/h1-3,5H,4H2",O=CC=CC1OC1
C5H8O(419),1,0,"InChI=1S/C5H8O/c1-2-3-4-5-6/h2-6H,1H3",OC=CC=CC
S(112),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5(4)8-7/h3,5,7H,1-2H2",OOC1[CH]CCC1=O
C5H8O(420),1,0,"InChI=1S/C5H8O/c1-2-3-4-5-6/h2-3,5H,4H2,1H3",O=CCC=CC
C3H6O(490),1,0,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",O=CCC
C5H7O(162),2,0,"InChI=1S/C5H7O/c6-4-3-5-1-2-5/h1,3-6H,2H2",OC=CC1C[CH]1
C5H8O(520),1,0,"InChI=1S/C5H8O/c1-2-3-4-5-6/h1,6H,3-5H2",OCCCC#C
S(489),2,0,"InChI=1S/C3H5O3/c4-2-1-3-6-5/h2H,1,3H2",O=CCCO[O]
S(377),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5(4)8-7/h3-4,6H,1-2H2",OC1CCC=C1O[O]
C2H5(202),2,0,"InChI=1S/C2H5/c1-2/h1H2,2H3",C[CH2]
C5H7O(41),2,0,"InChI=1S/C5H7O/c1-2-4-6-5-3-1/h2H,1,3,5H2",O1CCCC=[C]1
C5H9O(208),2,0,"InChI=1S/C5H9O/c1-2-3-4-5-6/h3-4H,2,5H2,1H3",[O]CC=CCC
S(122),2,0,"InChI=1S/C5H7O3/c1-2-5-6-3-4(1)7-8-5/h3-5H,1-2H2",O1C2OOC(CC2)[CH]1
S(1367),2,0,"InChI=1S/C5H7O3/c6-4-5-2-1-3-7-8-5/h3-5H,1-2H2",O=CC1OO[CH]CC1
S(1412),2,0,"InChI=1S/C5H7O3/c6-3-1-2-5(8)4-7/h3-5H,1-2H2",[O]C(CCC=O)C=O
S(827),2,0,"InChI=1S/C5H7O3/c1-2-3-4-5(6)8-7/h2-3,7H,1,4H2",OOC(=O)CC=C[CH2]
C5H7O(512),2,0,"InChI=1S/C5H7O/c1-4-2-3-5(4)6/h1,5-6H,2-3H2",OC1CCC1=[CH]
C5H7O(375),2,0,"InChI=1S/C5H7O/c1-3-5(6)4-2/h1,5-6H,2,4H2",OC(C[CH2])C#C
S(442),2,0,"InChI=1S/C5H7O3/c1-5(8-7)3-2-4-6/h2-5,7H,1H2",OOC(C=CC=O)[CH2]
S(1318),2,0,"InChI=1S/C5H7O3/c6-2-1-4-3-5(4)8-7/h1-2,4-5,7H,3H2",OOC1C(C1)[CH]C=O
O(566),1,0,InChI=1S/H2O/h1H2,O
S(899),1,0,"InChI=1S/C5H6O2/c6-4-5-2-1-3-7-5/h2,4H,1,3H2",O=CC=1OCCC=1
C3H3O(427),2,0,"InChI=1S/C3H3O/c1-2-3-4/h3H,1H2",[O]C=C=C
S(562),1,0,"InChI=1S/C5H8O2/c6-7-5-3-1-2-4-5/h3,6H,1-2,4H2",OOC=1CCCC=1
S(872),2,0,"InChI=1S/C5H7O3/c1-4-2-3-5(7-4)8-6/h5H,1-3H2",[O]OC1OC(CC1)=C
S(471),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5(4)8-7/h2,5-6H,1,3H2",OC=1C(O[O])CCC=1
S(1130),1,0,"InChI=1S/C5H8O3/c6-4-2-1-3-5-8-7/h1-4,6-7H,5H2",OC=CC=CCOO
C5H9O(205),2,0,"InChI=1S/C5H9O/c1-2-3-4-5-6/h3-6H,2H2,1H3",O[CH]C=CCC
S(658),2,0,"InChI=1S/C5H7O3/c6-5(8-7)3-4-1-2-4/h3,5-6H,1-2H2",OC(O[O])C=C1CC1
S(325),1,0,"InChI=1S/C5H6O3/c6-4-1-2-5(3-4)8-7/h1-2,5,7H,3H2",OOC1CC(=O)C=C1
S(317),2,0,"InChI=1S/C5H7O3/c1-5(8-7)3-2-4-6/h2,5,7H,1,3H2",OOC(CC=C=O)[CH2]
S(1952),1,0,"InChI=1S/C5H6O2/c6-3-1-2-5-4-7-5/h1,5H,2,4H2",O=C=CCC1OC1
C5H7O(299),2,0,"InChI=1S/C5H7O/c1-3-5(6)4-2/h3-4H,1H2,2H3",[O]C(=CC)C=C
S(583),1,0,"InChI=1S/C5H8O2/c6-4-2-1-3-5-7/h1-2,4,7H,3,5H2",OCCC=CC=O
C5H7O(176),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h4-6H,1,3H2",OC=CC[C]=C
