name,mult,charge,chi,smi
C5H9O(165),2,0,"InChI=1S/C5H9O/c6-5-3-1-2-4-5/h1,5-6H,2-4H2",OC1CC[CH]C1
S(1152),1,0,"InChI=1S/C5H10O2/c6-4-1-2-5(7)3-4/h4-7H,1-3H2",OC1CCC(C1)O
C5H9O(166),2,0,"InChI=1S/C5H9O/c6-5-3-1-2-4-5/h5H,1-4H2",[O]C1CCCC1
S(825),2,0,"InChI=1S/C5H7O2/c1-2-3-4-5(6)7/h2H,1,3-4H2",O=C(CCC=C)[O]
C4H7(1156),2,0,"InChI=1S/C4H7/c1-3-4-2/h3H,1-2,4H2",[CH2]CC=C
CO2(1155),1,0,InChI=1S/CO2/c2-1-3,O=C=O
C4H7(1162),2,0,"InChI=1S/C4H7/c1-4-2-3-4/h4H,1-3H2",[CH2]C1CC1
S(244),2,0,"InChI=1S/C5H9O2/c6-5(7)3-1-2-4-5/h3,6-7H,1-2,4H2",OC1(CCC[CH]1)O
S(104),2,0,"InChI=1S/C5H7O2/c6-5(7)3-1-2-4-5/h1,3,6H,2,4H2",OC1(CCC=C1)[O]
C5H7O(836),2,0,"InChI=1S/C5H7O/c1-4-2-3-5(4)6/h4H,1-3H2",O=C1CCC1[CH2]
C5H7O(98),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,3-6H,2H2",OC1C=CC[CH]1
C3H5(70),2,0,"InChI=1S/C3H5/c1-3-2/h3H,1-2H2",[CH2]C=C
S(1138),2,0,"InChI=1S/C3H5O/c4-3-1-2-3/h3H,1-2H2",[O]C1CC1
S(899),2,0,"InChI=1S/C5H7O2/c1-2-5(7)3-4-6/h3-4,6H,1-2H2",OC=CC(C[CH2])=O
S(1263),2,0,"InChI=1S/C5H7O2/c1-2-5(7)3-4-6/h3,6H,2H2,1H3",O[C]=CC(=O)CC
C5H8(67),1,0,"InChI=1S/C5H8/c1-3-5-4-2/h3-5H,1H2,2H3",CC=CC=C
S(1261),2,0,"InChI=1S/C5H7O2/c1-2-5(7)3-4-6/h2-4,6H,1H3",OC=CC(=CC)[O]
S(1264),2,0,"InChI=1S/C5H7O2/c1-2-5(7)3-4-6/h3-4H,2H2,1H3",O=C(C=C[O])CC
C3H5O(193),2,0,"InChI=1S/C3H5O/c1-2-3-4/h2-4H,1H2",O[CH]C=C
S(1313),1,0,"InChI=1S/C3H6O2/c4-2-1-3-5/h1-2,4-5H,3H2",OCC=CO
S(1312),1,0,"InChI=1S/C3H6O2/c1-2-3(4)5/h2-5H,1H2",OC(C=C)O
C#C(69),1,0,InChI=1S/C2H2/c1-2/h1-2H,C#C
S(1218),1,0,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2",OCC=C
C3H6(1217),1,0,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",CC=C
S(281),2,0,"InChI=1S/C3H5O2/c1-2-3-5-4/h2H,1,3H2",[O]OCC=C
