name,mult,charge,chi,orig_name,orig_chi,orig_smi
S(189)r1,2,0,"AMChI=1/C5H7O2/c6-4-1-2-3-5(4)7/h1,5,7H,2-3H2/t5-/m1/s1",S(189),"InChI=1S/C5H7O2/c6-4-2-1-3-5(4)7/h2,5,7H,1,3H2",OC1CCC=C1[O]
S(312),2,0,"AMChI=1/C5H7O2/c6-1-3-5-4-2-7/h2H,3-5H2",S(312),"InChI=1S/C5H7O2/c6-4-2-1-3-5-7/h4H,1-3H2",O=CCCC[C]=O
S(341)z,2,0,"AMChI=1/C5H7O2/c6-2-1-4-5-3-7/h1-3H,4-5H2/b2-1-",S(341),"InChI=1S/C5H7O2/c6-4-2-1-3-5-7/h2,4-5H,1,3H2",O=CCC[CH]C=O
S(341)e,2,0,"AMChI=1/C5H7O2/c6-2-1-4-5-3-7/h1-3H,4-5H2/b2-1+",S(341),"InChI=1S/C5H7O2/c6-4-2-1-3-5-7/h2,4-5H,1,3H2",O=CCC[CH]C=O
S(337),2,0,"AMChI=1/C5H7O2/c6-5-4-3-2-1-7-5/h1H,2-4H2",S(337),"InChI=1S/C5H7O2/c6-5-3-1-2-4-7-5/h4H,1-3H2",O=C1O[CH]CCC1
C5H7O2(34),2,0,"AMChI=1/C5H7O2/c6-7-5-2-3-1-4-5/h1-2,6H,3-4H2",C5H7O2(34),"InChI=1S/C5H7O2/c6-7-5-3-1-2-4-5/h1,4,6H,2-3H2",OOC=1C[CH]CC=1
C5H6O(364)rs0,1,0,"AMChI=1/C5H6O/c6-3-1-4-2-5(3)4/h4-5H,1-2H2/t4-,5+/m0/s1",C5H6O(364),"InChI=1S/C5H6O/c6-5-2-3-1-4(3)5/h3-4H,1-2H2",O=C1C2CC2C1
C5H6O(364)rs1,1,0,"AMChI=1/C5H6O/c6-3-1-4-2-5(3)4/h4-5H,1-2H2/t4-,5+/m1/s1",C5H6O(364),"InChI=1S/C5H6O/c6-5-2-3-1-4(3)5/h3-4H,1-2H2",O=C1C2CC2C1
C5H7O(95),2,0,"AMChI=1/C5H7O/c6-5-1-2-3-4-5/h1H,2-4H2",C5H7O(95),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h3H,1-2,4H2",[O]C1=CCCC1
C5H7(108),2,0,"AMChI=1/C5H7/c1-5-3-2-4-5/h2H,1,3-4H2",C5H7(108),"InChI=1S/C5H7/c1-5-3-2-4-5/h2H,1,3-4H2",C=C1C[CH]C1
S(379),2,0,"AMChI=1/C5H7O2/c1-4-2-5(3-4)7-6/h5H,1-3H2",S(379),"InChI=1S/C5H7O2/c1-4-2-5(3-4)7-6/h5H,1-3H2",[O]OC1CC(=C)C1
C5H7(378),2,0,"AMChI=1/C5H7/c1-5(3)2-4(5)3-5/h4H,1-3H2",C5H7(378),"InChI=1S/C5H7/c1-5-2-4(5)3-5/h4H,1-3H2",[CH2]C12CC2C1
S(311),2,0,"AMChI=1/C5H7O2/c1-3-4-5(7)2-6/h2H,1,3-4H2",S(311),"InChI=1S/C5H7O2/c1-2-3-5(7)4-6/h4H,1-3H2",O=C(CC[CH2])C=O
S(401),2,0,"AMChI=1/C5H7O2/c1-3-4-5(7)2-6/h3-4H2,1H3",S(401),"InChI=1S/C5H7O2/c1-2-3-5(7)4-6/h2-3H2,1H3",O=C(CCC)[C]=O
S(395),2,0,"AMChI=1/C5H7O2/c6-5-1-7-4-2-3-5/h1H,2-4H2",S(395),"InChI=1S/C5H7O2/c6-5-2-1-3-7-4-5/h4H,1-3H2",[O]C=1CCCOC=1
S(316)r0,2,0,"AMChI=1/C5H7O2/c1-3-4-5(7)2-6/h3,5,7H,1,4H2/t5-/m0/s1",S(316),"InChI=1S/C5H7O2/c1-2-3-5(7)4-6/h2,5,7H,1,3H2",OC(CC=C)[C]=O
S(316)r1,2,0,"AMChI=1/C5H7O2/c1-3-4-5(7)2-6/h3,5,7H,1,4H2/t5-/m1/s1",S(316),"InChI=1S/C5H7O2/c1-2-3-5(7)4-6/h2,5,7H,1,3H2",OC(CC=C)[C]=O
S(313),1,0,AMChI=1/C5H6O2/c6-4-2-1-3-5(4)7/h1-3H2,S(313),InChI=1S/C5H6O2/c6-4-2-1-3-5(4)7/h1-3H2,O=C1CCCC1=O
C5H7(387)r0,2,0,"AMChI=1/C5H7/c1-4-3-5(2)4/h5H,1-3H2/t5-/m0/s1",C5H7(387),"InChI=1S/C5H7/c1-4-3-5(4)2/h4H,1-3H2",[CH2]C1CC1=C
