eq,rate
O2(4) + H(8) = HO2(77),"SimpleRate(k=ArrheniusFunction(A=87900000000.0, b=1.0, E=0.45, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO2(77) + C5H7O(1) = S(102),"SimpleRate(k=ArrheniusFunction(A=3787080000000.0, b=-0.129, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO2(77) + C5H7O(3) = S(100),"SimpleRate(k=ArrheniusFunction(A=3563810000000.0, b=-0.054, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O3(18) = C5H7O3(84),"SimpleRate(k=ArrheniusFunction(A=118000000000.0, b=0.51, E=26.2, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O3(84) = C5H7O3(87),"SimpleRate(k=ArrheniusFunction(A=921752200.0, b=0.951, E=31.662, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(6) = C5H7O(67),"SimpleRate(k=ArrheniusFunction(A=459156800.0, b=1.13, E=29.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H7O(67) = C5H8O(98),"SimpleRate(k=ArrheniusFunction(A=24399600000000.0, b=0.071, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(21) = C5H7O(14),"SimpleRate(k=ArrheniusFunction(A=94700000.0, b=0.85, E=2.157, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H6O(24) = C5H7O(14),"SimpleRate(k=ArrheniusFunction(A=616500000.0, b=1.533, E=1.239, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H6O(24) = C5H7O(5),"SimpleRate(k=ArrheniusFunction(A=39700000.0, b=1.88, E=7.7, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H6O(24) = C5H7O(25),"SimpleRate(k=ArrheniusFunction(A=4769551.0, b=1.945, E=-0.579, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O3(26) = HO2(77) + C5H6O(24),"SimpleRate(k=ArrheniusFunction(A=191634800000.0, b=0.573, E=33.31, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H6O(24) = C5H7O(30),"SimpleRate(k=ArrheniusFunction(A=6390000.0, b=2.09, E=6.1, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(28) = C5H7O(5),"SimpleRate(k=ArrheniusFunction(A=0.234039, b=3.387, E=15.186, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(37) = C5H7O(15),"SimpleRate(k=ArrheniusFunction(A=94700000.0, b=0.85, E=1.226, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(37) = C5H7O(21),"SimpleRate(k=ArrheniusFunction(A=128600000.0, b=1.323, E=24.182, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7O(28) = S(379),"SimpleRate(k=ArrheniusFunction(A=2962760000000.0, b=-0.119, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(28) = C5H7O(374),"SimpleRate(k=ArrheniusFunction(A=1.06161e+19, b=-1.866, E=9.028, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(34) = C5H7O(5),"SimpleRate(k=ArrheniusFunction(A=37100.0, b=2.23, E=10.59, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(34) = C5H7O(33),"SimpleRate(k=ArrheniusFunction(A=190540000000.0, b=0.853, E=47.848, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(34) = C5H7O(31),"SimpleRate(k=ArrheniusFunction(A=3320000000.0, b=0.99, E=33.8, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(34) = C5H7O(30),"SimpleRate(k=ArrheniusFunction(A=8050000000.0, b=0.86, E=33.4, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H7O(34) = C5H8O(93),"SimpleRate(k=ArrheniusFunction(A=15764300000000.0, b=-0.222, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(49) = C5H7O(11),"SimpleRate(k=ArrheniusFunction(A=0.234039, b=3.387, E=16.88, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(21) = C5H7O(49),"SimpleRate(k=ArrheniusFunction(A=791180.1, b=2.193, E=37.494, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(37) = C5H7O(49),"SimpleRate(k=ArrheniusFunction(A=3320000000.0, b=0.99, E=33.8, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(44) = C5H7O(9),"SimpleRate(k=ArrheniusFunction(A=0.234039, b=3.387, E=21.46, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(44) = C5H7O(10),"SimpleRate(k=ArrheniusFunction(A=5445980000.0, b=0.677, E=47.699, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(21) = C5H7O(44),"SimpleRate(k=ArrheniusFunction(A=12971140.0, b=1.523, E=29.767, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(37) = C5H7O(44),"SimpleRate(k=ArrheniusFunction(A=26632890000.0, b=0.993, E=37.686, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(44) = C5H7O(49),"SimpleRate(k=ArrheniusFunction(A=116900000000.0, b=0.707, E=27.741, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(29) = C5H7O(5),"SimpleRate(k=ArrheniusFunction(A=0.234039, b=3.387, E=8.793, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(29) = C5H7O(21),"SimpleRate(k=ArrheniusFunction(A=136000.0, b=1.92, E=7.897, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(29) = C5H7O(37),"SimpleRate(k=ArrheniusFunction(A=1080000.0, b=1.99, E=25.2, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(29) = C5H7O(49),"SimpleRate(k=ArrheniusFunction(A=74200.0, b=2.23, E=10.59, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(29) = C5H7O(44),"SimpleRate(k=ArrheniusFunction(A=18460000000.0, b=0.74, E=34.7, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(50) = C5H7O(11),"SimpleRate(k=ArrheniusFunction(A=0.234039, b=3.387, E=15.034, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(50) = C5H7O(10),"SimpleRate(k=ArrheniusFunction(A=5445980000.0, b=0.677, E=45.56, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7O(49) = S(427),"SimpleRate(k=ArrheniusFunction(A=121694800000000.0, b=-0.429, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7O(44) = S(439),"SimpleRate(k=ArrheniusFunction(A=121694800000000.0, b=-0.429, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(36) = C5H7O(15),"SimpleRate(k=ArrheniusFunction(A=2023320000.0, b=0.769, E=24.324, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(36) = C5H7O(16),"SimpleRate(k=ArrheniusFunction(A=4.59984e-11, b=6.414, E=7.627, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(20) = C5H7O(14),"SimpleRate(k=ArrheniusFunction(A=1011660000.0, b=0.769, E=26.017, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
